transaction_date,transaction_id,description,amount_eur,amount_usd,balance_eur,reference,counterparty
2025-08-01,BNK-EUR-08-001,Opening Balance,0.00,0.00,169500.00,BAL-FORWARD,
2025-08-04,BNK-EUR-08-012,Wire Transfer - SAP SE,87000.00,95004.00,256500.00,INV-2025-101,SAP SE
2025-08-06,BNK-EUR-08-025,SEPA Payment - SAP SE,-41200.00,-44991.20,215300.00,BILL-2025-101,SAP SE
2025-08-09,BNK-EUR-08-038,Wire Transfer - Siemens AG,59500.00,65016.00,274800.00,INV-2025-102,Siemens AG
2025-08-11,BNK-EUR-08-051,SEPA Payment - Siemens Digital,-22900.00,-25012.80,251900.00,BILL-2025-102,Siemens Digital
2025-08-13,BNK-EUR-08-064,Wire Transfer - BMW Group,114500.00,125076.00,366400.00,INV-2025-103,BMW Group
2025-08-16,BNK-EUR-08-077,SEPA Payment - Deutsche Telekom,-7800.00,-8517.60,358600.00,BILL-2025-103,Deutsche Telekom
2025-08-19,BNK-EUR-08-090,Wire Transfer - Volkswagen AG,77800.00,84979.60,436400.00,INV-2025-104,Volkswagen AG
2025-08-21,BNK-EUR-08-103,SEPA Payment - BMW IT Services,-32100.00,-35061.20,404300.00,BILL-2025-104,BMW IT Services
2025-08-24,BNK-EUR-08-116,Wire Transfer - ASML Holding,50400.00,55036.80,454700.00,INV-2025-105,ASML Holding
2025-08-27,BNK-EUR-08-129,SEPA Payment - Volkswagen Digital,-25600.00,-27955.20,429100.00,BILL-2025-105,Volkswagen Digital
2025-08-30,BNK-EUR-08-142,SEPA Payment - ASML Software,-14200.00,-15510.40,414900.00,BILL-2025-106,ASML Software
